iter	Passed	Remaining
0	1	138
1	2	135
2	3	125
3	4	115
4	5	113
5	7	112
6	8	110
7	9	108
8	10	106
9	11	105
10	12	103
11	13	102
12	14	100
13	16	98
14	17	97
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	89
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	70	45
61	72	44
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
