iter	Passed	Remaining
0	156	156323
1	158	79334
2	161	53729
3	164	40887
4	166	33168
5	168	27991
6	171	24320
7	173	21575
8	175	19378
9	177	17556
10	178	16057
11	179	14802
12	180	13739
13	182	12826
14	183	12038
15	184	11343
16	185	10731
17	186	10188
18	187	9698
19	189	9261
20	190	8865
21	191	8504
22	192	8174
23	193	7874
24	194	7595
25	195	7337
26	196	7098
27	198	6875
28	199	6670
29	200	6476
30	201	6295
31	202	6125
32	203	5965
33	204	5815
34	205	5677
35	207	5546
36	208	5419
37	209	5300
38	210	5186
39	211	5078
40	212	4975
41	213	4876
42	214	4784
43	216	4695
44	217	4609
45	218	4527
46	219	4447
47	220	4372
48	221	4301
49	222	4232
50	223	4166
51	224	4101
52	226	4039
53	227	3980
54	228	3922
55	229	3866
56	230	3812
57	231	3760
58	232	3709
59	233	3661
60	234	3614
61	235	3568
62	236	3524
63	238	3481
64	239	3439
65	240	3399
66	241	3359
67	242	3321
68	243	3284
69	244	3248
70	245	3214
71	246	3180
72	247	3147
73	248	3115
74	250	3083
75	251	3053
76	252	3023
77	253	2994
78	254	2965
79	255	2937
80	256	2911
81	257	2885
82	258	2854
83	259	2829
84	260	2804
85	261	2780
86	262	2757
87	263	2734
88	264	2712
89	266	2690
90	267	2669
91	268	2648
92	269	2628
93	270	2607
94	271	2587
95	272	2568
96	273	2549
97	274	2530
98	275	2511
99	277	2495
100	278	2478
101	279	2461
102	280	2444
103	281	2427
104	282	2410
105	283	2394
106	285	2378
107	286	2363
108	287	2347
109	288	2333
110	289	2318
111	290	2303
112	291	2288
113	292	2274
114	293	2260
115	294	2247
116	295	2232
117	296	2219
118	298	2206
119	299	2193
120	300	2180
121	300	2166
122	302	2154
123	303	2142
124	304	2130
125	305	2118
126	306	2105
127	307	2095
128	309	2087
129	311	2083
130	312	2075
131	315	2075
132	319	2079
133	320	2072
134	322	2064
135	323	2056
136	325	2048
137	326	2041
138	328	2033
139	329	2026
140	331	2018
141	332	2008
142	333	2001
143	335	1993
144	336	1986
145	338	1978
146	340	1972
147	341	1965
148	342	1958
149	344	1950
150	345	1944
151	346	1935
152	348	1929
153	349	1922
154	351	1913
155	352	1905
156	353	1897
157	354	1888
158	355	1880
159	356	1872
160	357	1862
161	358	1854
162	359	1846
163	360	1838
164	361	1830
165	362	1823
166	363	1815
167	365	1807
168	366	1800
169	367	1793
170	368	1785
171	369	1778
172	370	1771
173	371	1764
174	372	1757
175	373	1750
176	374	1743
177	376	1736
178	377	1729
179	378	1723
180	379	1716
181	380	1710
182	381	1703
183	382	1697
184	383	1690
185	384	1684
186	385	1677
187	387	1671
188	388	1665
189	389	1659
190	390	1653
191	391	1647
192	392	1641
193	393	1635
194	394	1629
195	395	1623
196	396	1617
197	397	1611
198	398	1605
199	400	1600
200	401	1594
201	402	1589
202	403	1583
203	404	1578
204	405	1573
205	406	1567
206	407	1562
207	409	1558
208	411	1557
209	412	1551
210	413	1547
211	415	1542
212	416	1539
213	417	1535
214	419	1530
215	420	1526
216	421	1521
217	422	1515
218	423	1510
219	424	1505
220	425	1501
221	427	1499
222	429	1495
223	430	1491
224	431	1487
225	433	1483
226	434	1478
227	435	1473
228	436	1469
229	437	1465
230	439	1461
231	440	1457
232	441	1453
233	442	1448
234	443	1444
235	444	1439
236	445	1435
237	446	1430
238	448	1426
239	449	1423
240	450	1419
241	451	1414
242	452	1410
243	453	1406
244	454	1401
245	455	1397
246	457	1393
247	458	1389
248	460	1388
249	461	1384
250	462	1380
251	463	1376
252	464	1372
253	465	1368
254	467	1364
255	468	1360
256	469	1358
257	471	1355
258	472	1351
259	473	1347
260	474	1343
261	475	1340
262	476	1336
263	477	1332
264	479	1328
265	480	1325
266	481	1322
267	482	1318
268	483	1315
269	485	1311
270	486	1307
271	487	1304
272	488	1300
273	489	1296
274	490	1293
275	492	1291
276	493	1287
277	494	1284
278	495	1280
279	496	1277
280	497	1273
281	498	1270
282	500	1266
283	502	1266
284	503	1263
285	504	1259
286	505	1256
287	506	1253
288	507	1249
289	509	1246
290	510	1242
291	511	1239
292	513	1238
293	514	1235
294	515	1232
295	516	1229
296	517	1225
297	519	1222
298	520	1219
299	521	1216
300	522	1213
301	524	1211
302	525	1208
303	526	1205
304	527	1202
305	528	1199
306	529	1196
307	531	1193
308	532	1190
309	533	1186
310	535	1185
311	536	1183
312	537	1180
313	538	1177
314	539	1174
315	540	1170
316	542	1167
317	543	1164
318	544	1161
319	545	1159
320	546	1156
321	548	1154
322	549	1151
323	550	1148
324	551	1145
325	552	1142
326	553	1139
327	554	1136
328	555	1133
329	557	1131
330	558	1128
331	559	1125
332	560	1122
333	561	1119
334	562	1116
335	563	1114
336	564	1111
337	565	1108
338	567	1106
339	568	1104
340	570	1101
341	571	1099
342	572	1096
343	573	1093
344	574	1090
345	575	1088
346	576	1085
347	578	1084
348	580	1082
349	581	1079
350	582	1076
351	583	1074
352	584	1071
353	585	1068
354	586	1066
355	587	1063
356	589	1061
357	590	1058
358	591	1056
359	592	1053
360	593	1051
361	594	1048
362	596	1045
363	597	1043
364	598	1040
365	599	1038
366	600	1036
367	601	1033
368	602	1031
369	604	1028
370	605	1025
371	606	1023
372	607	1021
373	608	1018
374	609	1016
375	610	1013
376	611	1011
377	612	1008
378	613	1005
379	615	1003
380	616	1001
381	617	998
382	618	996
383	619	993
384	620	991
